"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"891","Platymiscium sp","Platymiscium sp","Platymiscium","Platymiscium","Fabaceae",NA,"Platsp","genus",NA,NA
"892","Platypodium elegans","Platypodium elegans","Platypodium elegans","Platypodium",NA,NA,"Platelega","species","tree",NA
"893","Pleudobanbaxs sp","Pseudobombax sp","Pseudobombax","Pseudobombax","Malvaceae",NA,"Pseusp","genus",NA,NA
"894","Plumeria alba","Plumeria alba","Plumeria alba","Plumeria","Apocynaceae",NA,"Plumalba","species",NA,NA
"895","Plumeria pudica","Plumeria pudica","Plumeria pudica","Plumeria","Apocynaceae","tree","Plumpudi","species","tree",NA
"896","Pogonopus speciosus","Pogonopus speciosus","Pogonopus speciosus","Pogonopus",NA,NA,"Pogospeci","species",NA,NA
"897","Pollalesta discolor","Pollalesta discolor","Pollalesta discolor","Pollalesta",NA,NA,"Polldisco","species",NA,NA
"898","Polygonaceae sp","Polygonaceae","Polygonaceae","Polygonaceae",NA,NA,"Polyfm","family",NA,NA
"899","Poueteria sp","Pouteria sp","Pouteria","Pouteria","Sapotaceae","tree","Poutsp","genus","tree",NA
"900","Pouetria sp","Pouteria sp","Pouteria","Pouteria","Sapotaceae","tree","Poutsp","genus","tree",NA
"901","Poulsenia armata","Poulsenia armata","Poulsenia armata","Poulsenia",NA,NA,"Poularmat","species","tree",NA
"902","Pouteria aff","Pouteria sp","Pouteria","Pouteria","Sapotaceae","tree","Poutsp","genus","tree",NA
"903","Pouteria sp","Pouteria sp","Pouteria","Pouteria","Sapotaceae","tree","Poutsp","genus","tree",NA
"904","Pradosia colombiana","Pradosia colombiana","Pradosia colombiana","Pradosia","Sapotaceae","tree","Pradcolo","species","tree",NA
"905","Prevdobobax septnatum","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"906","Pro sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"907","Prosopis juliflora","Prosopis juliflora","Prosopis juliflora","Prosopis","Fabaceae","treelet","Prosjuli","species","treelet",NA
"908","Prosopis julifora","Prosopis juliflora","Prosopis juliflora","Prosopis","Fabaceae","treelet","Prosjuli","species","treelet",NA
"909","Prosopis sp","Prosopis sp","Prosopis","Prosopis","Fabaceae",NA,"Prossp","genus",NA,NA
"910","Proteaceae sp","Proteaceae","Proteaceae","Proteaceae",NA,NA,"Protfm","family",NA,NA
"911","Protium cf llanorum","Protium llanorum","Protium llanorum","Protium","Burseraceae",NA,"Protllano","species","tree",NA
"912","Protium guianense","Protium guianense","Protium guianense","Protium","Burseraceae","tree","Protguia","species","tree",NA
"913","Protium heptaphyllum","Protium heptaphyllum","Protium heptaphyllum","Protium","Burseraceae","tree","Prothept","species","tree",NA
"914","Protium sp","Protium sp","Protium","Protium","Burseraceae",NA,"Protsp","genus",NA,NA
"915","Protium subserratum","Protium subserratum","Protium subserratum","Protium","Burseraceae",NA,"Protsubse","species","tree",NA
"916","Protium tenuifolium","Protium tenuifolium","Protium tenuifolium","Protium","Burseraceae","tree","Prottenu","species","tree",NA
"917","Pse sp","Pseudobombax sp","Pseudobombax","Pseudobombax","Malvaceae",NA,"Pseusp","genus",NA,NA
"918","Pseudobambax sp","Pseudobombax sp","Pseudobombax","Pseudobombax","Malvaceae",NA,"Pseusp","genus",NA,NA
"919","Pseudobmabax sp","Pseudobombax sp","Pseudobombax","Pseudobombax","Malvaceae",NA,"Pseusp","genus",NA,NA
"920","Pseudobombas sp","Pseudobombax sp","Pseudobombax","Pseudobombax","Malvaceae",NA,"Pseusp","genus",NA,NA
"921","Pseudobombax croizatii","Pseudobombax croizatii","Pseudobombax croizatii","Pseudobombax","Malvaceae",NA,"Pseucroiz","species",NA,NA
"922","Pseudobombax maxima","Pseudobombax maxima","Pseudobombax maximum","Pseudobombax","Malvaceae",NA,"Pseumaxim","species","tree",NA
"923","Pseudobombax septenatum","Pseudobombax septenatum","Pseudobombax septenatum","Pseudobombax","Malvaceae","tree","Pseusept","species","tree",NA
"924","Pseudobombax sp","Pseudobombax sp","Pseudobombax","Pseudobombax","Malvaceae",NA,"Pseusp","genus",NA,NA
"925","Pseudolmedia sp","Pseudolmedia sp","Pseudolmedia","Pseudolmedia","Moraceae","tree","Pseusp2","genus","tree",NA
"926","Pseudosamanea guachapele","Pseudosamanea guachapele","Pseudosamanea guachapele","Pseudosamanea","Fabaceae","tree","Pseuguac","species","tree",NA
"927","Pseudosamanea sp","Pseudosamanea sp","Pseudosamanea","Pseudosamanea","Fabaceae",NA,"Pseusp3","genus",NA,NA
"928","Psidiium lanceolatum","Psidium lanceolatum","Psidium lanceolatum","Psidium","Myrtaceae",NA,"Psidlance","species","treelet","LC"
"929","Psidiium sartorianum","Psidium sartorianum","Psidium sartorianum","Psidium","Myrtaceae",NA,"Psidsarto","species","tree","LC"
"930","Psidium guajava","Psidium guajava","Psidium guajava","Psidium","Myrtaceae",NA,"Psidguaja","species","tree",NA
"931","Psidium guineense","Psidium guineense","Psidium guineense","Psidium","Myrtaceae","treelet","Psidguin","species","treelet",NA
"932","Psidium sartorianum","Psidium sartorianum","Psidium sartorianum","Psidium","Myrtaceae",NA,"Psidsarto","species","tree","LC"
"933","Psidium sp","Psidium sp","Psidium","Psidium","Myrtaceae",NA,"Psidsp","genus",NA,NA
"934","Psychotria carthagenensis","Psychotria carthagenensis","Psychotria carthagenensis","Psychotria","Rubiaceae",NA,"Psyccarth","species","tree",NA
"935","Psychotria micrantha","Psychotria micrantha","Psychotria micrantha","Psychotria","Rubiaceae","shrub","Psycmicr","species","shrub",NA
"936","Pterocarpus acapulcensis","Pterocarpus acapulcensis","Pterocarpus acapulcensis","Pterocarpus","Fabaceae",NA,"Pteracapu","species",NA,NA
"937","Pterocarpus cf officinalis","Pterocarpus officinalis","Pterocarpus officinalis","Pterocarpus","Fabaceae","tree","Pteroffi","species","tree",NA
"938","Pterocarpus officinalis","Pterocarpus officinalis","Pterocarpus officinalis","Pterocarpus","Fabaceae","tree","Pteroffi","species","tree",NA
"939","Pterocarpus rhorii","Pterocarpus rohrii","Pterocarpus rohrii","Pterocarpus","Fabaceae","tree","Pterrohr","species","tree",NA
"940","Pterocarpus rohrii","Pterocarpus rohrii","Pterocarpus rohrii","Pterocarpus","Fabaceae","tree","Pterrohr","species","tree",NA
"941","Pterocarpus sp","Pterocarpus sp","Pterocarpus","Pterocarpus","Fabaceae","tree","Ptersp","genus","tree",NA
"942","Puya sp","Puya sp","Puya","Puya",NA,NA,"Puyasp","genus",NA,NA
"943","Qualea cf dinizii","Qualea dinizii","Qualea dinizii","Qualea",NA,NA,"Qualdiniz","species","tree",NA
"944","Qualea dinizi","Qualea dinizii","Qualea dinizii","Qualea",NA,NA,"Qualdiniz","species","tree",NA
"945","Qualea dinizii","Qualea dinizii","Qualea dinizii","Qualea",NA,NA,"Qualdiniz","species","tree",NA
"946","Quasia amara","Quasia amara","Quassia amara","Quassia",NA,NA,"Quasamara","species","tree",NA
"947","Randia aculeata","Randia aculeata","Randia aculeata","Randia","Rubiaceae","tree","Randacul","species","tree",NA
"948","Randia cf aculeata","Randia aculeata","Randia aculeata","Randia","Rubiaceae","tree","Randacul","species","tree",NA
"949","Randia formosa","Randia formosa","Randia formosa","Randia","Rubiaceae",NA,"Randformo","species",NA,NA
"950","Randia obcordata","Randia obcordata","Randia obcordata","Randia","Rubiaceae","treelet","Randobco","species","treelet",NA
"951","Randia obcrodata","Randia obcordata","Randia obcordata","Randia","Rubiaceae","treelet","Randobco","species","treelet",NA
"952","Randia sp","Randia sp","Randia","Randia","Rubiaceae",NA,"Randsp","genus",NA,NA
"953","Raullinia sp","Rollinia sp","Rollinia","Rollinia","Annonaceae",NA,"Rollsp","genus",NA,NA
"954","Rhamnus goudotiana","Rhamnus goudotiana","Rhamnus goudotiana","Rhamnus",NA,NA,"Rhamgoudo","species",NA,NA
"955","Rhanaceae sp","Rhamnaceae","Rhamnaceae","Rhamnaceae",NA,NA,"Rhamfm","family",NA,NA
"956","Rhipidocladum racemiflorum","Rhipidocladum racemiflorum","Rhipidocladum racemiflorum","Rhipidocladum",NA,NA,"Rhipracem","species","tree",NA
"957","Ricinus communis","Ricinus communis","Ricinus communis","Ricinus",NA,NA,"Ricicommu","species","tree",NA
"958","Rinorea pubiflora","Rinorea pubiflora","Rinorea pubiflora","Rinorea","Violaceae","shrub","Rinopubi","species","shrub",NA
"959","Rollinia membranacea","Rollinia membranacea","Rollinia membranacea","Rollinia","Annonaceae",NA,"Rollmembr","species",NA,NA
"960","Rollinia sp","Rollinia sp","Rollinia","Rollinia","Annonaceae",NA,"Rollsp","genus",NA,NA
"961","Roupala montana","Roupala montana","Roupala montana","Roupala",NA,NA,"Roupmonta","species","tree",NA
"962","Roupala sp","Roupala sp","Roupala","Roupala",NA,NA,"Roupsp","genus",NA,NA
"963","Roystonea oleracea","Roystonea oleracea","Roystonea oleracea","Roystonea",NA,NA,"Roysolera","species",NA,NA
"964","Ruagea glabra","Ruagea glabra","Ruagea glabra","Ruagea",NA,NA,"Ruagglabr","species",NA,NA
"965","Rubiaceae sp","Rubiaceae","Rubiaceae","Rubiaceae",NA,NA,"Rubifm","family",NA,NA
"966","Rudgea crassiloba","Rudgea crassiloba","Rudgea crassiloba","Rudgea","Rubiaceae","tree","Rudgcras","species","tree",NA
"967","Ruprechtia cruegeri","Ruprechtia cruegeri","Ruprechtia cruegeri","Ruprechtia","Polygonaceae",NA,"Ruprcrueg","species",NA,NA
"968","Ruprechtia ramiflora","Ruprechtia ramiflora","Ruprechtia ramiflora","Ruprechtia","Polygonaceae","tree","Ruprrami","species","tree",NA
"969","Sabal mauritiiformis","Sabal mauritiiformis","Sabal mauritiiformis","Sabal",NA,NA,"Sabamauri","species",NA,NA
"970","Sabal maurtiiformis","Sabal mauritiiformis","Sabal mauritiiformis","Sabal",NA,NA,"Sabamauri","species",NA,NA
"971","Salix humboldtiana","Salix humboldtiana","Salix humboldtiana","Salix",NA,NA,"Salihumbo","species","tree","LC"
"972","Samanea saman","Samanea saman","Samanea saman","Samanea",NA,NA,"Samasaman","species","tree",NA
"973","Samim sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"974","Sapindaceae sp","Sapindaceae","Sapindaceae","Sapindaceae",NA,NA,"Sapifm","family",NA,NA
"975","Sapindun saponaria","Sapindus saponaria","Sapindus saponaria","Sapindus","Sapindaceae","tree","Sapisapo","species","tree",NA
"976","Sapindus saponar","Sapindus saponaria","Sapindus saponaria","Sapindus","Sapindaceae","tree","Sapisapo","species","tree",NA
"977","Sapindus saponaria","Sapindus saponaria","Sapindus saponaria","Sapindus","Sapindaceae","tree","Sapisapo","species","tree",NA
"978","Sapindus sp","Sapindus sp","Sapindus","Sapindus","Sapindaceae",NA,"Sapisp2","genus",NA,NA
"979","Sapiu sp","Sapium sp","Sapium","Sapium","Euphorbiaceae",NA,"Sapisp","genus",NA,NA
"980","Sapium cf glandulosum","Sapium glandulosum","Sapium glandulosum","Sapium","Euphorbiaceae","tree","Sapiglan","species","tree",NA
"981","Sapium gla","Sapium glandulosum","Sapium glandulosum","Sapium","Euphorbiaceae","tree","Sapiglan","species","tree",NA
"982","Sapium glandulosum","Sapium glandulosum","Sapium glandulosum","Sapium","Euphorbiaceae","tree","Sapiglan","species","tree",NA
"983","Sapium glandulosusm","Sapium glandulosum","Sapium glandulosum","Sapium","Euphorbiaceae","tree","Sapiglan","species","tree",NA
"984","Sapium jenmanii","Sapium jenmanii","Sapium jenmanii","Sapium","Euphorbiaceae",NA,"Sapijenma","species","tree",NA
"985","Sapium sp","Sapium sp","Sapium","Sapium","Euphorbiaceae",NA,"Sapisp","genus",NA,NA
"986","Sapotaceae sp","Sapotaceae","Sapotaceae","Sapotaceae",NA,NA,"Sapofm","family",NA,NA
"987","Sapranthus isae","Sapranthus isae","Sapranthus isae","Sapranthus",NA,NA,"Saprisae","species",NA,NA
"988","Schefflera bejucosa","Schefflera bejucosa","Schefflera bejucosa","Schefflera","Araliaceae",NA,"Schebejuc","species",NA,NA
"989","Schefflera morototoini","Schefflera morototoni","Schefflera morototoni","Schefflera","Araliaceae","tree","Schemoro","species","tree",NA
"990","Schefflera morototoni","Schefflera morototoni","Schefflera morototoni","Schefflera","Araliaceae","tree","Schemoro","species","tree",NA
"991","Schefflera morototonii","Schefflera morototoni","Schefflera morototoni","Schefflera","Araliaceae","tree","Schemoro","species","tree",NA
"992","Schefflera sp","Schefflera sp","Schefflera","Schefflera","Araliaceae",NA,"Schesp","genus",NA,NA
"993","Scheflera sp","Schefflera sp","Schefflera","Schefflera","Araliaceae",NA,"Schesp","genus",NA,NA
"994","Schizolobium parahyba","Schizolobium parahyba","Schizolobium parahyba","Schizolobium",NA,NA,"Schiparah","species","tree",NA
"995","Schizolobium sp","Schizolobium sp","Schizolobium","Schizolobium",NA,NA,"Schisp","genus",NA,NA
"996","Schyzolo sp","Schizolobium sp","Schizolobium","Schizolobium",NA,NA,"Schisp","genus",NA,NA
"997","Schyzolobium sp","Schizolobium sp","Schizolobium","Schizolobium",NA,NA,"Schisp","genus",NA,NA
"998","Seguiera americana","Seguieria americana","Seguieria americana","Seguieria","Petiveriaceae","liana","Seguamer","species","liana","LC"
"999","Seguieria americana","Seguieria americana","Seguieria americana","Seguieria","Petiveriaceae","liana","Seguamer","species","liana","LC"
"1000","Sena fruticosa","Senna fruticosa","Senna fruticosa","Senna","Fabaceae",NA,"Sennfruti","species","tree",NA
"1001","Senecio sp","Senecio sp","Senecio","Senecio",NA,NA,"Senesp","genus",NA,NA
"1002","Senegalia multipinnata","Senegalia multipinnata","Senegalia multipinnata","Senegalia","Fabaceae",NA,"Senemulti","species","liana",NA
"1003","Senegalia riparia","Senegalia riparia","Senegalia riparia","Senegalia","Fabaceae",NA,"Seneripar","species","liana",NA
"1004","Senna atomaria","Senna atomaria","Senna atomaria","Senna","Fabaceae","tree","Sennatom","species","tree",NA
"1005","Senna bacillaris","Senna bacillaris","Senna bacillaris","Senna","Fabaceae","shrub","Sennbaci","species","shrub",NA
"1006","Senna bicapsularis","Senna bicapsularis","Senna bicapsularis","Senna","Fabaceae",NA,"Sennbicap","species",NA,NA
"1007","Senna multijuga","Senna multijuga","Senna multijuga","Senna","Fabaceae",NA,"Sennmulti","species","tree",NA
"1008","Senna obtusifolia","Senna obtusifolia","Senna obtusifolia","Senna","Fabaceae",NA,"Sennobtus","species","shrub",NA
"1009","Senna sp","Senna sp","Senna","Senna","Fabaceae","tree","Sennsp","genus","tree",NA
"1010","Senna spectabilis","Senna spectabilis","Senna spectabilis","Senna","Fabaceae","tree","Sennspec","species","tree",NA
"1011","Senna sylvestris","Senna sylvestris","Senna sylvestris","Senna","Fabaceae",NA,"Sennsylve","species","tree",NA
"1012","Sida jamaicensis","Sida jamaicensis","Sida jamaicensis","Sida",NA,NA,"Sidajamai","species",NA,NA
"1013","Sida rhombifolia","Sida rhombifolia","Sida rhombifolia","Sida",NA,NA,"Sidarhomb","species","forb",NA
"1014","Sima sp","Sima sp","Sima","Sima",NA,NA,"Simasp","genus",NA,NA
"1015","Simarouba amara","Simarouba amara","Simarouba amara","Simarouba",NA,NA,"Simaamara","species","tree",NA
"1016","Simarouba amra","Simarouba amara","Simarouba amara","Simarouba",NA,NA,"Simaamara","species","tree",NA
"1017","Simaruba mora","Simarouba amara","Simarouba amara","Simarouba",NA,NA,"Simaamara","species","tree",NA
"1018","Simira cesariana","Simira cesariana","Simira cesariana","Simira","Rubiaceae",NA,"Simicesar","species",NA,NA
"1019","Simira cordifolia","Simira cordifolia","Simira cordifolia","Simira","Rubiaceae","tree","Simicord","species","tree",NA
"1020","Siparuna sp","Siparuna sp","Siparuna","Siparuna","Siparunaceae",NA,"Sipasp","genus",NA,NA
"1021","Sloanea terniflora","Sloanea terniflora","Sloanea terniflora","Sloanea",NA,NA,"Sloaterni","species","tree",NA
"1022","Smilax sp","Smilax sp","Smilax","Smilax","Smilacaceae","liana","Smilsp","genus","liana",NA
"1023","Socratea exo","Socratea exorrhiza","Socratea exorrhiza","Socratea",NA,NA,"Socrexorr","species","palm",NA
"1024","Socratea exorrhiza","Socratea exorrhiza","Socratea exorrhiza","Socratea",NA,NA,"Socrexorr","species","palm",NA
"1025","Solanaceae indeterminada","Solanaceae","Solanaceae","Solanaceae",NA,NA,"Solafm","family",NA,NA
"1026","Solanum cf laevigatum","Solanum laevigatum","Solanum laevigatum","Solanum","Solanaceae",NA,"Solalaevi","species",NA,NA
"1027","Solanum crotonifolium","Solanum crotonifolium","Solanum crotonifolium","Solanum","Solanaceae",NA,"Solacroto","species",NA,NA
"1028","Solanum sp","Solanum sp","Solanum","Solanum","Solanaceae","shrub","Solasp","genus","shrub",NA
"1029","Solanum sp cujaco","Solanum sp","Solanum","Solanum","Solanaceae","shrub","Solasp","genus","shrub",NA
"1030","Sorocea sp","Sorocea sp","Sorocea","Sorocea","Moraceae","tree","Sorosp","genus","tree",NA
"1031","Sorocea sprucei","Sorocea sprucei","Sorocea sprucei","Sorocea","Moraceae","tree","Sorospru","species","tree",NA
"1032","Spathelia giraldana","Spathelia giraldoana","Spathelia giraldoana","Spathelia","Rutaceae",NA,"Spatgiral","species",NA,NA
"1033","Spathelia giraldiana","Spathelia giraldoana","Spathelia giraldoana","Spathelia","Rutaceae",NA,"Spatgiral","species",NA,NA
"1034","Spectabilis sp","Spectabilis sp","Spectabilis","Spectabilis",NA,NA,"Specsp","genus",NA,NA
"1035","Spetaatu sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"1036","Spodias mombi","Spondias mombin","Spondias mombin","Spondias","Anacardiaceae","tree","Sponmomb","species","tree",NA
"1037","Spondias mombi","Spondias mombin","Spondias mombin","Spondias","Anacardiaceae","tree","Sponmomb","species","tree",NA
"1038","Spondias mombim","Spondias mombin","Spondias mombin","Spondias","Anacardiaceae","tree","Sponmomb","species","tree",NA
"1039","Spondias mombin","Spondias mombin","Spondias mombin","Spondias","Anacardiaceae","tree","Sponmomb","species","tree",NA
"1040","Spondias monbin","Spondias mombin","Spondias mombin","Spondias","Anacardiaceae","tree","Sponmomb","species","tree",NA
"1041","Stenocereus griseus","Stenocereus griseus","Stenocereus griseus","Stenocereus","Cactaceae","cactus","Stengris","species","cactus",NA
"1042","Stenocereus humilis","Stenocereus humilis","Stenocereus humilis","Stenocereus","Cactaceae","cactus","Stenhumi","species","cactus",NA
"1043","Stenocereus sp","Stenocereus sp","Stenocereus","Stenocereus","Cactaceae",NA,"Stensp","genus",NA,NA
"1044","Sterculia apetala","Sterculia apetala","Sterculia apetala","Sterculia",NA,NA,"Sterapeta","species","tree",NA
"1045","Sterculia colombiana","Sterculia colombiana","Sterculia colombiana","Sterculia",NA,NA,"Stercolom","species",NA,NA
"1046","Sterculiaceae sp","Sterculiaceae","Sterculiaceae","Sterculiaceae",NA,NA,"Sterfm","family",NA,NA
"1047","Stryphnodendron sp","Stryphnodendron sp","Stryphnodendron","Stryphnodendron",NA,NA,"Strysp","genus",NA,NA
"1048","Swartzia arbore","Swartzia arborescens","Swartzia arborescens","Swartzia","Fabaceae",NA,"Swararbor","species","tree",NA
"1049","Swartzia arborescens","Swartzia arborescens","Swartzia arborescens","Swartzia","Fabaceae",NA,"Swararbor","species","tree",NA
"1050","Swartzia dipetala","Swartzia dipetala","Swartzia dipetala","Swartzia","Fabaceae",NA,"Swardipet","species","tree",NA
"1051","Swartzia sp","Swartzia sp","Swartzia","Swartzia","Fabaceae","treelet","Swarsp","genus","treelet",NA
"1052","Sweitenia macrophylla","Swietenia macrophylla","Swietenia macrophylla","Swietenia",NA,NA,"Swiemacro","species","tree","VU"
"1053","Swietenia macrophylla","Swietenia macrophylla","Swietenia macrophylla","Swietenia",NA,NA,"Swiemacro","species","tree","VU"
"1054","Swinglea glutinosa","Swinglea glutinosa","Swinglea glutinosa","Swinglea",NA,NA,"Swingluti","species",NA,NA
"1055","Syagrus orinocensis","Syagrus orinocensis","Syagrus orinocensis","Syagrus","Arecaceae",NA,"Syagorino","species",NA,NA
"1056","Syagrus orinosensis","Syagrus orinocensis","Syagrus orinocensis","Syagrus","Arecaceae",NA,"Syagorino","species",NA,NA
"1057","Syagrus sancona","Syagrus sancona","Syagrus sancona","Syagrus","Arecaceae","palm","Syagsanc","species","palm",NA
"1058","Syzygium jambos","Syzygium jambos","Syzygium jambos","Syzygium",NA,NA,"Syzyjambo","species","tree",NA
"1059","Tabebu sp","Tabebuia sp","Tabebuia","Tabebuia","Bignoniaceae",NA,"Tabesp","genus",NA,NA
"1060","Tabebuaia crisantha","Tabebuia chrysantha","Tabebuia chrysantha","Tabebuia","Bignoniaceae",NA,"Tabechrys","species",NA,NA
"1061","Tabebuia cf alba","Tabebuia alba","Tabebuia alba","Tabebuia","Bignoniaceae",NA,"Tabealba","species","tree","LC"
"1062","Tabebuia cf ingignis","Tabebuia insignis","Tabebuia insignis","Tabebuia","Bignoniaceae",NA,"Tabeinsig","species","tree",NA
"1063","Tabebuia cf insignis","Tabebuia insignis","Tabebuia insignis","Tabebuia","Bignoniaceae",NA,"Tabeinsig","species","tree",NA
"1064","Tabebuia chysantha","Tabebuia chrysantha","Tabebuia chrysantha","Tabebuia","Bignoniaceae",NA,"Tabechrys","species",NA,NA
"1065","Tabebuia crisantha","Tabebuia chrysantha","Tabebuia chrysantha","Tabebuia","Bignoniaceae",NA,"Tabechrys","species",NA,NA
"1066","Tabebuia guayacan","Tabebuia sp","Tabebuia","Tabebuia","Bignoniaceae",NA,"Tabesp","genus",NA,NA
"1067","Tabebuia insignis","Tabebuia insignis","Tabebuia insignis","Tabebuia","Bignoniaceae",NA,"Tabeinsig","species","tree",NA
"1068","Tabebuia ochracea","Tabebuia ochracea","Tabebuia ochracea","Tabebuia","Bignoniaceae",NA,"Tabeochra","species","tree",NA
"1069","Tabebuia ocrhacea","Tabebuia ochracea","Tabebuia ochracea","Tabebuia","Bignoniaceae",NA,"Tabeochra","species","tree",NA
"1070","Tabebuia orinocensis","Tabebuia orinocensis","Tabebuia orinocensis","Tabebuia","Bignoniaceae",NA,"Tabeorino","species",NA,NA
"1071","Tabebuia rosea","Tabebuia rosea","Tabebuia rosea","Tabebuia","Bignoniaceae","tree","Taberose","species","tree",NA
"1072","Tabebuia serratifolia","Tabebuia serratifolia","Tabebuia serratifolia","Tabebuia","Bignoniaceae",NA,"Tabeserra","species","tree",NA
"1073","Tabebuia sp","Tabebuia sp","Tabebuia","Tabebuia","Bignoniaceae",NA,"Tabesp","genus",NA,NA
"1074","Tabernaemontana amygdalifolia","Tabernaemontana amygdalifolia","Tabernaemontana amygdalifolia","Tabernaemontana","Apocynaceae","tree","Tabeamyg","species","tree",NA
"1075","Tabernaemontana cymosa","Tabernaemontana cymosa","Tabernaemontana cymosa","Tabernaemontana","Apocynaceae",NA,"Tabecymos","species","tree",NA
"1076","Tabernaemontana grandiflora","Tabernaemontana grandiflora","Tabernaemontana grandiflora","Tabernaemontana","Apocynaceae","tree","Tabegran","species","tree",NA
"1077","Tachigali guianensis","Tachigali guianensis","Tachigali guianensis","Tachigali","Fabaceae","tree","Tachguia","species","tree",NA
"1078","Tachigali sp","Tachigali sp","Tachigali","Tachigali","Fabaceae",NA,"Tachsp","genus",NA,NA
"1079","Tachygali sp","Tachigali sp","Tachigali","Tachigali","Fabaceae",NA,"Tachsp","genus",NA,NA
"1080","Talisia oliviformis","Talisia oliviformis","Talisia oliviformis","Talisia",NA,NA,"Taliolivi","species",NA,NA
"1081","Tapirira gu","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1082","Tapirira gui","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1083","Tapirira guiane","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1084","Tapirira guianenesis","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1085","Tapirira guianense","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1086","Tapirira guianensis","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1087","Tapirira guianenssis","Tapirira guianensis","Tapirira guianensis","Tapirira","Anacardiaceae","tree","Tapiguia","species","tree",NA
"1088","Tapirira sp","Tapirira sp","Tapirira","Tapirira","Anacardiaceae",NA,"Tapisp","genus",NA,NA
"1089","Tecoma sp","Tecoma sp","Tecoma","Tecoma",NA,NA,"Tecosp","genus",NA,NA
"1090","Tecoma stans","Tecoma stans","Tecoma stans","Tecoma",NA,NA,"Tecostans","species","treelet",NA
"1091","Tectona grandis","Tectona grandis","Tectona grandis","Tectona",NA,NA,"Tectgrand","species",NA,NA
"1092","Tephrosia carthagenensis","Tephrosia carthagenensis","Tephrosia","Tephrosia",NA,NA,"Tephsp","genus",NA,NA
"1093","Terminalia amazonia","Terminalia amazonia","Terminalia amazonia","Terminalia","Combretaceae","tree","Termamaz","species","tree",NA
"1094","Terminalia oblonga","Terminalia oblonga","Terminalia oblonga","Terminalia","Combretaceae","tree","Termoblo","species","tree",NA
"1095","Tessaria integrifolia","Tessaria integrifolia","Tessaria integrifolia","Tessaria",NA,NA,"Tessinteg","species","tree",NA
"1096","Tetragastri sp","Tetragastris sp","Tetragastris","Tetragastris","Burseraceae",NA,"Tetrsp","genus",NA,NA
"1097","Tetragastris panamensis","Tetragastris panamensis","Tetragastris panamensis","Tetragastris","Burseraceae","tree","Tetrpana","species","tree",NA
"1098","Theobroma cacao","Theobroma cacao","Theobroma cacao","Theobroma",NA,NA,"Theocacao","species","tree",NA
"1099","Thevetia ahouai","Thevetia ahouai","Thevetia ahouai","Thevetia",NA,NA,"Thevahoua","species",NA,NA
"1100","Thevetia peruviana","Thevetia peruviana","Thevetia peruviana","Thevetia",NA,NA,"Thevperuv","species","tree",NA
"1101","Thevetia sp","Thevetia sp","Thevetia","Thevetia",NA,NA,"Thevsp","genus",NA,NA
"1102","Tiliaceae sp","Tiliaceae","Tiliaceae","Tiliaceae",NA,NA,"Tilifm","family",NA,NA
"1103","Tillandsia flexuosa","Tillandsia flexuosa","Tillandsia flexuosa","Tillandsia",NA,NA,"Tillflexu","species",NA,NA
"1104","Tillandsia sp","Tillandsia sp","Tillandsia","Tillandsia",NA,NA,"Tillsp","genus",NA,NA
"1105","Tr sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"1106","Trattinnickia aspera","Trattinnickia aspera","Trattinnickia aspera","Trattinnickia","Burseraceae",NA,"Tratasper","species",NA,NA
"1107","Trattinnickia rhoifolia","Trattinnickia rhoifolia","Trattinnickia rhoifolia","Trattinnickia","Burseraceae",NA,"Tratrhoif","species","tree",NA
"1108","Trattinnickia sp","Trattinnickia sp","Trattinnickia","Trattinnickia","Burseraceae",NA,"Tratsp","genus",NA,NA
"1109","Trema micrantha","Trema micrantha","Trema micrantha","Trema",NA,NA,"Tremmicra","species","tree",NA
"1110","Trichanthera gigantea","Trichanthera gigantea","Trichanthera gigantea","Trichanthera",NA,NA,"Tricgigan","species","tree",NA
"1111","Trichilia acuminata","Trichilia acuminata","Trichilia acuminata","Trichilia","Meliaceae","tree","Tricacum","species","tree",NA
"1112","Trichilia afin pallida","Trichilia afin pallida","Trichilia","Trichilia","Meliaceae",NA,"Tricsp","genus",NA,NA
"1113","Trichilia pallida","Trichilia pallida","Trichilia pallida","Trichilia","Meliaceae","tree","Tricpall","species","tree",NA
"1114","Trichilia sp","Trichilia sp","Trichilia","Trichilia","Meliaceae",NA,"Tricsp","genus",NA,NA
